doc_id,expectation,mention_text
17950147,0.999,'0.01'
17174222,0.992,'0.0001'
17174222,1,'0.03'
17174222,0.998,'0.0003'
17174222,0.996,'0.0001'
17174222,0.999,'0.0001'
17174222,0.994,'0.0007'
17174222,0.96,'0.0001'
17174222,0.996,'0.0001'
17174222,1,'0.001'
17174222,1,'0.0001'
17174222,0.998,'0.08'
17174222,0.996,'0.002'
17174222,0.998,'0.0001'
17174222,0.998,'0.0001'
17174222,0.995,'0.0001'
17174222,0.994,'0.003'
17174222,0.999,'0.0178'
17174222,1,'0.0532'
17174222,0.999,'0.0001'
17174222,0.999,'0.0001'
17174222,0.968,'0.56'
17174222,0.999,'0.21'
17174222,1,'0.69'
17174222,0.973,'0.63'
17174222,0.987,'0.24'
17174222,1,'0.13'
17174222,1,'0.01'
15860246,0.957,'0.0001'
15860246,0.995,'0.0001'
15860246,0.984,'0.0001'
15860246,0.983,'0.0002'
15860246,0.995,'0.0007'
15860246,0.985,'0.0004'
15860246,0.98,'0.0002'
15860246,1,'0.0002'
15860246,0.972,'0.002'
15860246,1,'0.0001'
15860246,1,'0.0033'
15860246,0.968,'0.0002'
15860246,0.969,'0.025'
17632131,1,'0.001'
17632131,1,'0.01'
17632131,0.991,'0.01'
16139331,0.994,'0.05'
16139331,1,'0.001'
16139331,1,'0.39'
16139331,1,'0.001'
16139331,1,'0.14'
18036453,0.999,'0.005'
18036453,1,'0.015'
18036453,0.996,'0.47'
18036453,0.999,'0.37'
17306703,1,'0.20'
17306703,1,'0.32'
17306703,1,'0.25'
17306703,1,'0.005'
17306703,1,'0.33'
17306703,0.999,'0.40'
17306703,0.992,'0.248'
17306703,0.992,'0.134'
17306703,0.995,'0.074'
17306703,1,'0.27'
17306703,1,'0.075'
17306703,0.947,'0.12'
17306703,0.998,'0.003'
17306703,1,'0.01'
16185958,0.999,'0.0001'
16185958,0.995,'0.0001'
16185958,1,'0.0001'
16185958,1,'0.006'
16185958,1,'0.0014'
16185958,0.996,'0.0001'
16185958,0.999,'0.0002'
16185958,1,'0.0001'
18061276,0.999,'0.046'
17644419,0.992,'0.05'
17644419,1,'0.05'
17644419,1,'0.05'
17644419,1,'0.05'
17644419,0.922,'0.05'
16963674,1,'0.01'
16963674,1,'0.008'
16963674,0.992,'0.01'
16963674,0.999,'0.008'
17336698,0.934,'0.44'
17336698,0.921,'0.35'
17336698,0.926,'0.07'
17651893,0.99,'0.001'
17651893,0.99,'0.001'
17651893,0.989,'0.001'
17651893,0.998,'0.001'
17651893,0.998,'0.001'
17651893,1,'0.001'
17651893,0.981,'0.008'
17651893,0.992,'0.001'
17651893,0.989,'0.001'
17651893,0.976,'0.002'
18402899,1,'0.0001'
18402899,0.997,'0.0003'
18402899,0.986,'0.049'
18402899,1,'0.0003'
18402899,1,'0.049'
18160120,1,'0.0001'
18160120,0.985,'0.581'
18160120,0.993,'0.001'
17868810,0.997,'0.0001'
17868810,0.989,'0.06'
17084268,1,'0.001'
17084268,0.999,'0.001'
17084268,1,'0.001'
17084268,0.999,'0.001'
17084268,1,'0.001'
17084268,0.998,'0.001'
17084268,0.998,'0.001'
17084268,1,'0.001'
17084268,0.997,'0.12'
17084268,1,'0.026'
17084268,1,'0.05'
17437739,0.999,'0.001'
17437739,1,'0.001'
16236868,0.997,'0.025'
16236868,0.992,'0.025'
18191732,1,'0.003'
18191732,0.996,'0.01'
18191732,1,'0.18'
18191732,0.999,'0.004'
18191732,1,'0.03'
18191732,0.972,'0.05'
18191732,0.952,'0.01'
16537862,0.992,'0.05'
16537862,0.992,'0.05'
16537862,1,'0.05'
16537862,0.991,'0.001'
16537862,1,'0.001'
15947323,0.998,'0.02'
15947323,1,'0.009'
15947323,1,'0.05'
15947323,0.998,'0.9'
15947323,1,'0.9'
15947323,0.999,'0.7'
15947323,0.999,'0.9'
15947323,1,'0.5'
15947323,0.998,'0.009'
15947323,0.998,'0.05'
15947323,0.957,'0.3'
15947323,0.983,'0.6'
17099012,0.998,'0.198'
17099012,0.997,'0.361'
17099012,0.987,'0.584'
17099012,0.996,'0.012'
17099012,0.997,'0.115'
17099012,1,'0.572'
17099012,1,'0.197'
17099012,0.999,'0.761'
17099012,1,'0.001'
17099012,0.998,'0.001'
18496508,0.998,'0.0001'
18496508,0.998,'0.0001'
18496508,0.991,'0.03'
18496508,1,'0.0001'
18496508,0.999,'0.04'
18496508,0.998,'0.61'
18496508,1,'0.083'
18496508,1,'0.037'
18496508,1,'0.007'
17904420,0.848,'0.07'
17904420,0.845,'0.03'
17904420,0.999,'0.03'
16564210,1,'0.04'
16564210,1,'0.07'
16564210,0.999,'0.17'
16564210,0.995,'0.30'
16564210,0.995,'0.009'
16564210,1,'0.03'
16564210,1,'0.05'
16564210,0.999,'0.05'
16564210,0.999,'0.11'
16564210,0.976,'0.001'
15947625,1,'0.01'
15947625,1,'0.001'
15947625,1,'0.03'
15947625,0.991,'0.0001'
15947625,1,'0.0001'
15947625,0.984,'0.0005'
15947625,0.999,'0.003'
15947625,1,'0.003'
15947625,0.998,'0.03'
15947625,0.999,'0.0001'
15947625,1,'0.45'
15947625,1,'0.04'
15947625,0.995,'0.07'
15947625,0.998,'0.0001'
15947625,1,'0.45'
15947625,1,'0.001'
15947625,1,'0.0005'
15947625,0.999,'0.02'
15947625,0.999,'0.17'
16297506,0.987,'0.05'
16297506,1,'0.05'
16297506,0.995,'0.05'
16297506,0.988,'0.05'
16297506,0.98,'0.05'
16297506,0.989,'0.05'
16297506,0.992,'0.01'
16297506,0.997,'0.01'
16297506,0.99,'0.05'
16297506,0.997,'0.05'
16297506,0.982,'0.05'
16297506,0.996,'0.05'
16297506,1,'0.05'
16297506,0.985,'0.05'
16297506,0.951,'0.05'
16297506,0.937,'0.05'
17466196,1,'0.01'
17919894,0.972,'0.395'
17919894,0.97,'0.918'
17919894,0.999,'0.677'
17919894,1,'0.156'
17919894,1,'0.479'
17919894,1,'0.180'
17919894,0.968,'0.365'
17919894,0.965,'0.744'
17919894,1,'0.425'
17919894,1,'0.276'
17919894,0.999,'0.003'
17919894,0.999,'0.051'
17919894,1,'0.441'
17919894,0.994,'0.05'
17919894,0.994,'0.05'
